ID,Age,Gender,Race,Occupation,Education,Annual income (USD),What VR headset (or head-mounted display) do you use for SVR?,Which Social Virtual Reality (SVR) platform do you use the most? - Selected Choice,For how long did you use the main platform?,How often do you use your main platform (in hours per week)? - 1,How do you feel being anonymous in a virtual space?,What does it mean for you to be represented by the avatar in SVR?,When and why do you 'mute' other SVR users (if ever)?,How does it feel when people you know make eye contact and/or stare at you in SVR? Why?,How does it feel when strangers make eye contact and/or stare at you in SVR? Why?,What do you feel when someone known to you tries to virtually touch you? Why?,What do you feel when a stranger tries to virtually touch you? Why?,"Have you ever felt unsafe during interactions with others? If yes, in what situations and why?"
svr3,22,Female,Hispanic,student/worker,High School Diploma,$15 000 - 34 999,Meta quest 2,VR Chat,Around 6 months,6,"i feel ok, we want a safe  space",I like to see myself reflected in an avatar because I want what I'm doing in my free time to also resonate with me.,if they annoying me ,i just know because the way they look at you is different ,"First of all, is kinda weird but then its ok ",i don't feel any weirdness in that ,"weird, i think they are insane or something like that ",i don't felt unsafe yet
svr5,21,Female,Hispanic,Student,Bachelor's degree,$15 000 - 34 999,Nintento Switch,Other,Around a year,8,"
It's something cool, since they don't know you and you don't feel judged","Cool, you can decorate yourself however you want.",When they are rude or get violent.,"I don't feel weird, on the contrary, I like it.","I don't feel weird, I think is good to take me a part of the game.","I hate it, I don't like physical contact","I hate it, I don't like physical contact","No, never."
svr7,23,Female,Black,Administrator,Bachelor's degree,$35 000 - 49 999,Vrg pro 3D virtual reality glasses ,VR Chat,Around 6 months,3,I don't know how I feel,It feels amazing ,When they talk a lot of unnecessary things,A bit weird if they stare for too long,It feels weird at first ,I can't explain the feeling but it feels unreal,A bit weird ,No
svr10,33,Female,Black,Administration,High School Diploma,$15 000 - 34 999,Samsung ,VR Chat,Around 6 months,4,It feels good because there are a lot of strangers which it can be unsafe for us if we are not anonymous ,It means a lot as many people take advantage ,When am busy with something else that doesn't concern other users,It feels good because it shows that they are focused in your conversation ,A bit weird because we don't know each other but at the same time that's the point to meet strangers,It feels weird because I be asking myself why shuld they want to touch me especially when is the opposite sex,I feel scared because I don't know their intentions ,"Yes, some people will communicate with me in a way that is unethical"
svr11,39,Female,Black,Freelancer,Bachelor's degree,$100 000 or more,Sony Playstation VR,Facebook/Meta Spaces,More than a year,2,"I absolutely love it, it saves me the direct physical interaction","I am opened to this, as I am an introvert",When I am not communicating.,Personal Boudary assists in avoiding unwanted interactions between avatars,It can be uncomfortable unless in terms of responding to questions,The feeling may be the same,It can be uncomfortable. Thanks to personal boundardy it keeps the distance professional,No
svr13,27,Female,Black,Accountant,Bachelor's degree,$100 000 or more,Virtual Reality Glasses with Stereo,Facebook/Meta Spaces,Around 6 months,12,I've never been anonymous in a virtual space.,I would customize the avatar in a way that would represent my personality.,"You can mute all participants when they join your meeting, and restrict their ability to unmute themselves, when you set up your SVR meeting. This will help to prevent any unwanted interruptions.",It not really much of a big deal because it is normal.,Making eye contact is normal and it show that person is paying attention if you speaking.,You can basically see their hand stretching out to touch you but in reality they are not next to you but you may be freaked out sometimes.,It may freak you out sometimes.,No
svr20,31,Female,latino,Lawter,Master's degree,$15 000 - 34 999,Oculus Quest,VR Chat,More than a year,7,"I feel nice, free","Nothing, it's a virtual avatar, not my real self",When they become too annoying or are making me uncomfortable/unsafe,Nothing because I know how avatars work,Nothing because I know how avatars work,"The touch
Mainly because the brain is tricked into believing something is there","I mean, depends on where and how, usually I accept it","When people bring their real life problems and start making them everybody else's problems, brings back bad memories"
svr28,22,Female,Black,Junior Manager,Bachelor's degree,$35 000 - 49 999,Quest 2,Facebook/Meta Spaces,Around a year,12,It’s actually very peaceful ,I don’t take the avatar lightly because it represents who I am,They can be distracting sometimes,It feels a little bit weird ,It’s normal because I think they are getting to know me ,It depends in my relationships with the person ,I feel uncomfortable ,When there are too much strangers 
svr30,24,Female,Black,Junior management ,High School Diploma,$35 000 - 49 999,PlayStation VR headset ,VR Chat,Around a year,2,I feel comfortable because i don't want to be judged ,It does not mean anything just something i prefer ,I don't mute others ,I sometimes feel shy because i don't feel comfortable being looked in the eye ,It feels weird because i am shy person ,If it's someone i know i feel fine,I feel scared because i don't like strangers touching me ,No I have not
svr31,27,Female,Black,Am a soccer coach ,Bachelor's degree,$35 000 - 49 999,Mac,Facebook/Meta Spaces,Around 6 months,12,Bad ,It shows my character ,If their time is up ,It good cause it shows they are paying attention ,"It's good , because it shows am not ignored ","Happy, because it's the easiest way ","Happy , am always eager to meet new people ",No
svr40,22,Female,Hispanic,Student ,Bachelor's degree,$50 000 - 74 999,Oculus VR,VR Chat,Around a year,10,"I feel fine because I can be myself and nobody will know much more about myself, I feel secured.","Nothing special, I just use an avatar to talk with people and in a little percent represent how I am.",I have been muting some users when they start to being rude or something like that because some people likes to be bad in SVR and if you ignore them they usually just get bored and leave you in peace.,"Sometimes if feels weird because not always you know what does the people want but if you get away from there you feel less stressed, because is not often to have that connection with people you don't consider your friend or something like that.",Very uncomfortable because I don't know what they want until I ask them but then I remember they just being weird online and I usually ignore them if they don't have something interesting to say.,It depends of the person and if I know her/him but I don't feel opposed to this if it is in a respectful way.,Weird because in the real life and SVR I don't like to stay to close from strangers.,"Not really, some users likes to being annoying but I know there is no way the know personal information about myself more than what they can see in SVR."
svr42,26,Female,Black,Intern,High School Diploma,Less than $15 000,VRG Pro 3D,VR Chat,More than a year,2,Invincible,I get to keep my identity a secret for a little while longer,When I'm on the phone or talking to someone else in real life ,Good. I love eye contact ,Creeper out. It's rude to stare,"Indifferent,  I like affection ",Harassed. I don't like strangers in my personal space ,No
svr43,30,Female,Black,clerk,Bachelor's degree,$35 000 - 49 999,non-immersive,Mozilla Hubs,Around 6 months,4,some times ,It feel great i enjoy it,So that you dont over talk each other,"Its a good way of communicating making eye contact
so i feel great","It doesnt bother me 
May be they are curious",It feels real because you imagine it in your brain,It feels wierd becaue i dont know the person,no
svr44,24,Female,Hispanic,Engineer,Bachelor's degree,$100 000 or more,VR box,Facebook/Meta Spaces,Around 6 months,4,"It feels good, as im a totally different person",It feels like im in other country and i want people to know me as i am,"When i want to make them angry, because they are usually my friends or cousins and we have confidence ","It feels a little weird , because it means msybe now we will start a conversation ",That havent happen to me,It feels a little exciting because means maybe we will start talking and become closer's ,"I do not enjoy it, i think its because i dont want more friends",No
svr47,32,Female,White,Teacher,Master's degree,$50 000 - 74 999,oculus quest,VR Chat,More than a year,3,Yeah really good- I like anonymity in general so I enjoy that as a feature.,I think it means that I can be a different version of myself but embody myself in a creative way instead.  So like a more 'free' version of myself.,Usually just super loud or trolling behaviour.  Especially if young people seem to get involved and they are really loud.,"I dunno, it feels a little different to normal?  It doesn't feel like a human being- but it is not like an avatar or character.  It is kind of a newness.",Same kind of thing.  Probably a little less confronting that in the real world.  Probably why it is so easy to go online.,"I think this is a bit weird but again, if it is for a joke or just going along with a situation, there is a bit of a justification there.",There is definitely a disconnect between touch virtually and I don't think my brain has 100% connected this to being creepy behaviour.  But I 100% hate being touched normally.,Not unsafe- uncomfortable.  
svr49,31,Female,Asian,Analyst,Bachelor's degree,$15 000 - 34 999,PlayStation,Bigscreen VR,More than a year,4,Feels safe and comfortable.,It represented my real me.,If I need to do things or if I think I need to focus on one thing at a time.,I feel normal. I don’t really bother about it.,Feels weird maybe.,Feels weird because I think they can also do that in person.,Scared because why you need to touch someone you don’t know ?,"So far , No!"
svr53,26,Female,Hispanic,im workind of data analystic ,Master's degree,$15 000 - 34 999,Meta Quest 2 ,Facebook/Meta Spaces,Around 6 months,4,When there are a lot of people I don't know and I can't establish a conversation with anyone ,"It means a lot to see myself represented with an avatar, I feel like she needs to look like me to feel like it's me and feel comfortable","When they are rude, I have had experiences with people behaving in inappropriate ways, so I prefer to silence them.",nervous because I'm always intimidated by being stared at even in VR,"A little anxious because there are all kinds of people in VR, I don't always know if they have the same intentions to have a good time playing or maybe they want to be rude ", if it's someone I know it doesn't bother me,if it's a stranger it scares me and I try to get away if I can  ,"Yeah, one day I was playing with no known people and a person in VR started being rude and racist, he got too close to me, so, I left the room "
svr55,22,Female,White,Student and Employer,Master's degree,Less than $15 000,Meta Quest 2,VR Chat,Around a year,10,I can be free and say whatever I want.,I'm being represented on the platform instead of in person.,If they have to be rude or too noisy in the microphone.,I feel good because they're listening to what I'm talking about.,I feel normal because they're also listening to me talking,I'm happy because we're doing an act of friendship,I feel weird because I don't know him from anywhere and he's doing it to me.,No
svr57,39,Female,White,Buisness owner,Some School,$50 000 - 74 999,Oculus,Facebook/Meta Spaces,Around 1 month,8,I am fine with that depending on the situation ,My avatar is very close to how I appear in real life. I want it to represent me 100% as who I really am,"When they are being abusive, and using horrible language. Also when bullying is happening",Doesn't make me feel any way in particular.  ,Ill usually run away. I like to stick to users I know. ,Im fine with that.,"Again, ill run away. I dont know you. ",Not yet
svr58,23,Female,White,Student and Hospitality worker,Bachelor's degree,$15 000 - 34 999,Oculus Quest 2,RecRoom,More than a year,2,I like being anonymous sometimes when I am not feeling up to much social interaction. It allows me to just focus on gaming ,"It does not mean a great deal to me- I just like to make avatars that kinda look like me. I have always done this is every game, whether on VR or regular gaming",I regularly mute other users. There are a lot of obnoxious teenagers and annoying children and I typically mute anyone who is being too loud or rude ,"A bit creeped out. It feels unnatural and strange. I prefer to not make eye contact at all and if people do stare at me, I look away","Very weird. As I said before, it feels unnatural and you feel quite exposed even though the person cannot really see you",I don't really mind this but it doesn't happen too often anyway because people I talk to regularly tend to respect my virtual 'boundaries',"I dislike this. Usually strangers who do this are obnoxious, rude players and I tend to block them for not respecting my space ","No, I have never felt unsafe. However, I have worried about children because there are some strange and potentially dangerous people in the public rooms sometimes"
svr59,26,Female,Black,Admin clerk ,Bachelor's degree,$75 000 - 99 999,VRG Pro 3D Virtual Reality Glasses with Adjustable IPD,Facebook/Meta Spaces,Around 6 months,17,"Too hidden. It's already virtual reality, I don't wana NOT exist.","Alot, ",When they're being rude or just plain doing too much.,Like I'm interesting.,"Nothing, they can't do anything to me either way.",Weird. I wouldn't want them to think that is okay on any given day for real.,Honestly nothing. I can just blow them off and never deal with them again.,No.
svr61,33,Female,White,Healthcare ,High School Diploma,$35 000 - 49 999,Oculus,Facebook/Meta Spaces,Around a year,4,Empowering ,It feels like a status ,Never used ,Connected ,A little intimidated  / curious 8,Excitement ,Worried ,No never unsafe 
svr63,29,Female,White,Entertsiner,Master's degree,$15 000 - 34 999,Meta quest 2 ,BeanVR,Around 6 months,6,"I feel safe, I feel like no one can judge me and I can relax and be myself","It means it shows your personality and what you like, the way you want to be perceived. ","If I find conversation is inappropriate or if something is going on in my real life, or even if I find that I’m being distracted from what I’m doing.","I don’t like eye contact, even though it’s my eyes being the set, and not right there it makes me feel uncomfortable as yly still getting the closer yoyr being looked at too closely or judged.","Again, I do not like eye contact. A big reason why I use them, so it makes me feel uncomfortable.","If I know them, we’ll enough then it does not bother me, it isn’t a threat to my body and presence therefore I don’t see it as a issue, you can’t feel it, or be effected by it so why not,","If it is a stranger then it would make me extremely uncomfortable, purely for the fact of there being no necessary reason a stranger should be touching me,",No
svr68,27,Female,Black,Electrical engineering ,Bachelor's degree,$15 000 - 34 999,Playstation VR,Facebook/Meta Spaces,Around 6 months,5,It feels good because I'll be protecting myself to strangers. ,It's gonna be representing my desired appearance and reflection of my real life. ,If they are not complying with the rules of no talking while someone is talking or if i am addressing something ,It makes me feel good that people are drawing their attention towards me. ,That means they're listening to what I'll be saying at that specific moment. ,It makes me feel good that they are feeling my presence through virtual reality. ,"I feel overwhelmed, it's like is happening for real. ",No I've never felt unsafe. 
svr70,44,Female,White,Senior Analyst ,Bachelor's degree,$35 000 - 49 999,Oculus 2,Facebook/Meta Spaces,More than a year,2,I love it.,Like I'm presenting myself,I mute someone if they are offensive.,Uncomfortable I don't like it.,Very uncomfortable because I feel on display.,Irritated because I feel like my space is being invaded. ,I move away.,No
svr83,31,Female,White,Civil Engineer,Bachelor's degree,$100 000 or more,Oculus Quest,VR Chat,Around 6 months,10,It's amazing. I can't imagine ever linking online/VR space to my personal life and it's crazy to me that a lot of the younger people are doing exactly that without the understanding and the consequences this could bring them.,"I should be able to make the avatar look like the IRL me, if I so choose, but also any matter or creature, size, shape should I so desire it.","When they are being loud and generally annoying, trying to get into fights with people by stirring up controversial topics, or just talk about something I'm not a fan of and don't care to hear about.","It's hard to know if they're actually staring in real life, but if they're facing for long periods of time without doing anything, I usually ask them if they're still around or ""what's up?"" to try to get their attention. They may not realize they're doing it.","It's hard to know if they're actually staring in real life, but if they're facing for long periods of time without doing anything. or moving their heads to follow me as I move, then it's a but scary and I would try to leave that situation.","I'm ambivalent. I should feel happy if it's a friend, but I don't really mind.","I get creeped out, just like I do in real life. It hasn't happened too often but I really dislike the feeling.","Mostly when topics get politically/activism charged. I never feel like the violence is directed at me, because those people don't know my opinions, but if they did, it would be disastrous, even if I am in the right. So it's more of an anxiety over not wanting to upset people."
svr85,26,Female,White,Graphic Designer,Bachelor's degree,Less than $15 000,Quest 2,Pavlov VR,More than a year,2,"Good, like I don't have to live up to so many expectations that everyone has of me.","Happy, I like feeling like an individual.","If they are being toxic or creepy. I play beat saber with strangers a lot because it feels safe because you can't talk, only communicate through gestures etc. But one time I was playing and someone kept intently staring at me, and then started making heart shapes in my direction, so I started feeling uncomfortable and left. ","It feels normal, like a real conversation maintaining eye contact.","Really creepy, it just kind of feels very unsettling. ",Again feels normal because it's usually like a high 5 or hug or whatever. It just seems very reminiscent to real life.,"Creepy, because I don't know them and it feels really weird even though I know they aren't actually touching me. ",Whenever I am alone with strangers I feel unsafe and leave very quickly. But if I have friends around I feel much safer.
svr86,31,Female,Asian,Customer success manager ,Master's degree,$100 000 or more,Meta quest ,Facebook/Meta Spaces,Around 6 months,4,It feels liberating and free to be anonymous. ,I feel free and independent to be in VR. It gives me an opportunity to meet new tand make friends with strangers across the world ,"If someone is constantly interrupting, I end up muting them to maintain some order or civility ",It is weird but similar to reality. In virtual space it feels safer,It is weird but similar to reality. In virtual space it feels safer with strangers compared to reality ,"Since it is VR I don't feel it, if it gets awkward i try to move away", if it gets awkward i try to move away or raise my voice and create a scene to embarrass The stranger,During certain games I feel unsafe if the participants are not respectful and abusive.
svr90,33,Female,Asian,human resources manager ,Bachelor's degree,$35 000 - 49 999,voyager,Facebook/Meta Spaces,Around 6 months,4,I feel its good proctects your identity ,Feels like i am in control over the situation ,When i want to focus on something ,I dont feel conscious im confident i guess i used to eye contact as i train staff also,I dont feel akward i just see it as a way of the features of using it.,Nothing ,Nothing ,No 
svr96,26,Female,Hispanic,Unemployed ,High School Diploma,$15 000 - 34 999,Oculus quest 2,VR Chat,More than a year,5,I feel Happy as I am able to just be free and no one knows my real worries or things j am going through. ,It means that I feel like myself and no one can be judgemental of me ,I don't want to associate with them or talk so choose to mute them and be able to continue on with what I am doing ,It doesn't make me nervous as it would in real life. It's more easy going and I don't feel pressure that they're staring at everything that I feel is wrong with me ,It doesn't make me nervous as it would in real life. It's more easy going and I don't feel pressure that they're staring at everything that I feel is wrong with me ,I don't feel much as it isn't a real physical touch. It doesn't get to me as it would if someone touched me in real life and made me feel uncomfortable ,I don't feel much as it isn't a real physical touch. It doesn't get to me as it would if someone touched me in real life and made me feel uncomfortable ,I've never particularly felt unsafe 
svr97,24,Female,White,Retail Associate,High School Diploma,$35 000 - 49 999,Oculus Rift,VR Chat,Around 6 months,7,It makes me feel safe like I can be whoever I want without judgement.,It makes me feel happier and more engaged when this happens because I feel more immersed.,I mute other users if they are being loud or insulting because I don't want to deal with negative people online if I don't have to.,It just seems normal to me. It makes me think we are having a normal conversation like in real life.,It seems normal to me as long as the stranger is being nice and appropriate. I don't mind meeting other people and them looking at me.,"I feel fine as long as the situation is appropriate. It seems like we are having a normal conversation, and it's engaging.",I don't mind if the person is being kind and just trying to get my attention. It doesn't seem like such a strange thing to me if we are just engaging in a conversation.,I've never felt unsafe.
svr101,32,Female,Black,hotel manager,Bachelor's degree,$35 000 - 49 999,Longitech Chorus,Facebook/Meta Spaces,Around 1 month,3,I feel being annonymus might allow for criminals to take advantage,It my identity,Only when Im in meetings or sleeping and don't want to be disturbed,Eye contact is good but constantly staring is rude. As much as we have exposed ourselve with the emerging technology but we should loose the sense of respect .Staring is just rude,Eye contact is good but constantly staring is rude. As much as we have exposed ourselve with the emerging technology but we should loose the sense of respect .Staring is just rude,Honestly sometimes its feels good.Makes me feel even more closer to them,"It okey , i guess it meant we getting to know each other on a different level",No
svr102,23,Female,Latina,Student,Bachelor's degree,Less than $15 000,Meta Quest 2,VR Chat,Around a year,16,I feel safer and more comfortable.,"It´s an easier way to interact with others, specially strangers.","If they say offensive, rude things directed to me or my friends I silence them. But I mostly just turn away and search for a different world to avoid contact with certain users.","It feels normal, since it´s people I know I don´t care if they stare or we make eye contact, it makes the experience feel more real at times.","It´s quite common, but at times it can feel weird. I f it makes me too uncomfortable I´ll move to other spot or even change worlds.",Normal. It makes the experience feel more real.,"If it´s not an inappropiate it feels normal, otherwise I feel very awkward and uncomfortable.","No, with virtual interactions I haven´t felt unsafe. I have felt uncomfortable or upset, but not unsafe."
svr104,31,Female,Black,ESL Online Teacher,Bachelor's degree,$50 000 - 74 999,VR Shinecon G04EA VR headset,VR Chat,Around 6 months,6,feels great.,It means that I feel accepted and welcomed in the virtual world.,When there is noise in the background.,It makes me feel comfortable because I am familiar with them. They probably want to interact.,It makes me feel a bit comfortable if they dont say anything.,It makes me feel comfortabe.,It makes me feel intruiged as to why they want to get to know me.,No
svr105,37,Female,Black,Case Manager ,High School Diploma,$15 000 - 34 999,PC Gamer,VR Chat,Around 6 months,3,I feel free and able to express myself without getting judged ,"It means a lot, because it represents me.",When their making too much noise ,I feel comfortable because I know them,A bit intriguing ,I feel comfortable ,It doesn't bother me,"Yes, when they threaten me"
svr107,25,Female,White,HR Advisor,Master's degree,$35 000 - 49 999,Meta quest 2,Facebook/Meta Spaces,Around 6 months,9,I love it as I can be me ,It means a lot because it’s you ,If I have something going on in the background ,I feel exposed like I would in real life ,Awkward and shy ,A bit creeped out ,Scared ,No not really 
